,season,bowler,wickets
972,2016,JP Faulkner,2
1132,2017,TM Head,2
114,2009,Anureet Singh,2
971,2016,JP Duminy,2
970,2016,JO Holder,2
119,2009,C Nanda,2
614,2013,Anand Rajan,2
924,2015,YK Pathan,2
400,2011,M Muralitharan,2
611,2013,AM Nayar,2
22,2008,DJ Hussey,2
1324,2019,S Warrier,2
1005,2016,R Dhawan,2
292,2010,RE van der Merwe,2
1046,2017,Ankit Soni,2
654,2013,JO Holder,2
1294,2019,MP Stoinis,2
456,2011,UT Yadav,2
1017,2016,SM Boland,2
457,2011,V Kohli,2
8,2008,AD Mascarenhas,2
276,2010,MR Marsh,2
763,2014,KA Pollard,2
458,2011,VR Aaron,2
289,2010,R Sathish,2
18,2008,D Kalyankrishna,2
1050,2017,B Stanlake,2
1308,2019,R Parag,2
1310,2019,R Tewatia,2
165,2009,Pankaj Singh,2
166,2009,R Ashwin,2
805,2014,S Kaul,2
1014,2016,S Nadeem,2
803,2014,S Badree,2
11,2008,B Akhil,2
1318,2019,S Kuggeleijn,2
285,2010,Pankaj Singh,2
1321,2019,S Nadeem,2
798,2014,R Tewatia,2
797,2014,R Shukla,2
1285,2019,L Ferguson,2
24,2008,DL Vettori,2
1015,2016,SB Jakati,2
1331,2019,Shakib Al Hasan,2
1030,2016,VR Aaron,2
782,2014,NM Coulter-Nile,2
722,2013,VS Malik,2
1062,2017,DJ Hooda,2
519,2012,J Theron,2
1021,2016,Sachin Baby,2
53,2008,Mohammad Hafeez,2
986,2016,MG Johnson,2
856,2015,GJ Maxwell,2
48,2008,MA Khote,2
505,2012,DR Smith,2
314,2010,ST Jayasuriya,2
293,2010,RG Sharma,2
869,2015,J Yadav,2
258,2010,Joginder Sharma,2
1265,2019,HV Patel,2
155,2009,MC Henriques,2
367,2011,DP Nannes,2
1272,2019,J Suchith,2
662,2013,LJ Wright,2
492,2012,BA Bhatt,2
660,2013,KW Richardson,2
633,2013,DR Smith,2
740,2014,DJ Hussey,2
183,2009,SC Ganguly,2
25,2008,DNT Zoysa,2
1064,2017,DR Smith,2
1090,2017,MM Patel,1
642,2013,Harmeet Singh (2),1
1031,2016,YK Pathan,1
644,2013,IC Pandey,1
625,2013,Bipul Sharma,1
613,2013,AS Rajpoot,1
1088,2017,MJ Henry,1
1039,2017,AB Dinda,1
1086,2017,MC Henriques,1
638,2013,GH Vihari,1
624,2013,BMAJ Mendis,1
1048,2017,Avesh Khan,1
1053,2017,BCJ Cutting,1
618,2013,B Laughlin,1
382,2011,JDP Oram,1
620,2013,BA Bhatt,1
628,2013,CL White,1
1060,2017,CR Brathwaite,1
610,2013,AJ Finch,1
149,2009,LA Carseldine,1
